Patient ID,Species,Common Name,Admission Date,Location Found,City Found,County Found
2019-4882,EGSQ,Eastern Gray Squirrel,11/14/2019,9600 College Way N,Seattle,King
2019-4885,AMCR,American Crow,11/15/2019,13240 Aurora Ave,Seattle,King
2019-4886,AMCR,American Crow,11/15/2019,2540 NE 92nd St,Seattle,King
2019-4887,AMCR,American Crow,11/15/2019,2540 NE 92nd St,Seattle,King
2019-4888,AMRO,American Robin,11/15/2019,2061 15th Ave W,Seattle,King
2019-4891,ROPI,Rock Pigeon,11/15/2019,605 5th Ave S,Seattle,King
2019-4898,EGSQ,Eastern Gray Squirrel,11/17/2019,2300 Arboretum Dr E,Seattle,King
2019-4899,EGSQ,Eastern Gray Squirrel,11/17/2019,1731 37th ave,Seattle,King
2019-4904,GCKI,Golden-crowned Kinglet,11/20/2019,32nd Ave NE and NE 75th St,Seattle,King
2019-4914,GWGU,Glaucous-winged Gull,11/22/2019,2061 15th Ave W,Seattle,King
2019-4918,GWGU,Glaucous-winged Gull,11/22/2019,Magnuson Park,Seattle,King
2019-4923,HOFI,House Finch,11/23/2019,2061 15th Ave W,Seattle,King
2019-4925,AMCR,American Crow,11/23/2019,10916 Dixon DR S,Seattle,King
2019-4934,ANHU,Anna's Hummingbird,11/25/2019,9600 15th Ave,Seattle,King
2019-4935,ROPI,Rock Pigeon,11/25/2019,NW Esplanade,Seattle,King
2019-4938,NOFL,Northern Flicker,11/26/2019,5500 Phinney Ave N,Seattle,King
2019-4940,AMCR,American Crow,11/26/2019,9450 14th Ave SW,Seattle,King
2019-4942,ROPI,Rock Pigeon,11/26/2019,2500 E Denny Way,Seattle,King
2019-4944,COHA,Cooper's Hawk,11/27/2019,1100 9th Ave,Seattle,King
2019-4949,LESC,Lesser Scaup,11/27/2019,800 Occidental Ave S,Seattle,King
2019-4952,GWGU,Glaucous-winged Gull,11/30/2019,1801 16th ave sw,Seattle,King
2019-4960,CEDW,Cedar Waxwing,12/1/2019,NE 42nd ST,Seattle,King
2019-4961,NOFL,Northern Flicker,12/1/2019,1425 5th ave N,Seattle,King
2019-4968,EACO,Eastern Cottontail,12/2/2019,Purdue Ave NE and NE 58th St,Seattle,King
2019-4973,BEAV,Beaver,12/3/2019,4455 Shilshore Ave NW,Seattle,King
2019-4974,GWGU,Glaucous-winged Gull,12/4/2019,600 5th Ave,Seattle,King
2019-4975,DEJU,Dark-eyed Junco,12/4/2019,Boston and 10th Ave,Seattle,King
2019-4980,ROPI,Rock Pigeon,12/5/2019,700 Virginia St,Seattle,King
2019-4994,ROPI,Rock Pigeon,12/7/2019,2061 15th Ave W,Seattle,King
2019-4998,AMRO,American Robin,12/7/2019,6555 16th Ave NE,Seattle,King
2019-5002,ROPI,Rock Pigeon,12/8/2019,Island Soul In Columbia City,Seattle,King
2019-5009,EGSQ,Eastern Gray Squirrel,12/10/2019,9523 15th Ave NW,Seattle,King
2019-5013,VATH,Varied Thrush,12/10/2019,5500 Phinney Ave N,Seattle,King
2019-5019,GWGU,Glaucous-winged Gull,12/12/2019,Husky Stadium,Seattle,King
2019-5020,ROPI,Rock Pigeon,12/12/2019,2061 15th Ave W,Seattle,King
2019-5025,MERL,Merlin,12/13/2019,4800 38th Ave SW,Seattle,King
2019-5027,AMRO,American Robin,12/14/2019,918 N 97th St,Seattle,King
2019-5030,BADO,Barred Owl,12/15/2019,Lake Union,Seattle,King
2019-5032,AMCR,American Crow,12/16/2019,4212 Baker Ave NW,Seattle,King
2019-5034,GWGU,Glaucous-winged Gull,12/17/2019,1700 4th Ave S,Seattle,King
2019-5035,EACO,Eastern Cottontail,12/17/2019,9715 Lake Shore Blvd NE,Seattle,King
2019-5038,ROPI,Rock Pigeon,12/18/2019,101 Taylor Ave N,Seattle,King
2019-5039,BADO,Barred Owl,12/18/2019,4311 11th Ave NE,Seattle,King
2019-5044,GWGU,Glaucous-winged Gull,12/19/2019,2021 Rainier Ave S,Seattle,King
2019-5045,AMCR,American Crow,12/19/2019,110th Ave and Northgate Wy,Seattle,King
2019-5047,ROPI,Rock Pigeon,12/20/2019,2061 15th Ave W,Seattle,King
2019-5050,ROPI,Rock Pigeon,12/21/2019,6000 39th Ave S,Seattle,King
2019-5052,GWGU,Glaucous-winged Gull,12/22/2019,500 17th Ave # 2E,Seattle,King
2019-5054,DEJU,Dark-eyed Junco,12/23/2019,6729 25th Ave NW,Seattle,King
2019-5055,AMRO,American Robin,12/24/2019,10304 Fischer Pl NE,Seattle,King
2019-5057,ANHU,Anna's Hummingbird,12/25/2019,11726 4th Ave NW,Seattle,King
2019-5059,ANHU,Anna's Hummingbird,12/26/2019,4020 46th Ave S,Seattle,King
2019-5060,ROPI,Rock Pigeon,12/26/2019,900 6th Ave,Seattle,King
2019-5069,SPTO,Spotted Towhee,12/27/2019,348th and 16th in Federal Way,Seattle,King
2019-5074,ROPI,Rock Pigeon,12/28/2019,3608 S Barton St,Seattle,King
2019-5077,ROPI,Rock Pigeon,12/28/2019,5500 Kenwood PL N,Seattle,King
2019-5078,ROPI,Rock Pigeon,12/28/2019,4th AVE SW,Seattle,King
2019-5081,ROPI,Rock Pigeon,12/29/2019,5129 S Willow,Seattle,King
2019-5089,ROPI,Rock Pigeon,12/30/2019,5932 18th Ave S,Seattle,King
2020-0001,ROPI,Rock Pigeon,1/1/2020,1201 3rd Ave,Seattle,King
2020-0002,AMGO,American Goldfinch,1/2/2020,Yale Ave,Seattle,King
2020-0007,ROPI,Rock Pigeon,1/3/2020,3837 Ashworth Ave N,Seattle,King
2020-0014,AMCR,American Crow,1/4/2020,2610 E Montlake Pl E,Seattle,King
2020-0017,ROPI,Rock Pigeon,1/5/2020,13700 Aurora Ave N,Seattle,King
